id_codedep_codecom,coddep,commune,pmun,pcap,ptot
01167,01,GARNERANS,634,24,658
01169,01,GENOUILLEUX,641,22,663
01170,01,BÉARD-GÉOVREISSIAT,1053,28,1081
01171,01,GÉOVREISSET,844,42,886
01173,01,GEX,13121,270,13391
01174,01,GIRON,178,2,180
01175,01,GORREVOD,784,23,807
01177,01,GRAND-CORENT,183,6,189
01179,01,GRIÈGES,1881,52,1933
01180,01,GRILLY,839,21,860
01181,01,GROISSIAT,1241,50,1291
01183,01,GUÉREINS,1479,29,1508
01184,01,HAUTECOURT-ROMANÈCHE,763,26,789
01185,01,PLATEAU D'HAUTEVILLE,4844,176,5020
01187,01,HAUT VALROMEY,618,21,639
01188,01,ILLIAT,663,20,683
01189,01,INJOUX-GÉNISSIAT,1115,26,1141
01190,01,INNIMOND,87,3,90
01191,01,IZENAVE,154,4,158
01192,01,IZERNORE,2277,61,2338
01193,01,IZIEU,222,7,229
01194,01,JASSANS-RIOTTIER,6346,93,6439
01195,01,JASSERON,1783,54,1837
01196,01,JAYAT,1226,13,1239
01197,01,JOURNANS,351,13,364
01198,01,JOYEUX,268,3,271
01199,01,JUJURIEUX,2137,46,2183
01200,01,LABALME,214,5,219
01202,01,LAGNIEU,7161,147,7308
01203,01,LAIZ,1313,42,1355
01204,01,LE POIZAT-LALLEYRIAT,735,15,750
01206,01,LANTENAY,277,6,283
01207,01,LAPEYROUSE,317,12,329
01208,01,LAVOURS,131,4,135
01209,01,LÉAZ,778,16,794
01210,01,LÉLEX,228,4,232
01211,01,LENT,1395,35,1430
01212,01,LESCHEROUX,718,9,727
01213,01,LEYMENT,1341,29,1370
01214,01,LEYSSARD,158,6,164
01215,01,SURJOUX-LHOPITAL,140,3,143
01216,01,LHUIS,894,21,915
01219,01,LOMPNAS,164,3,167
01224,01,LOYETTES,3225,31,3256
01225,01,LURCY,372,8,380
01227,01,MAGNIEU,643,14,657
01228,01,MAILLAT,660,14,674
01229,01,MALAFRETAZ,1235,24,1259
01230,01,MANTENAY-MONTLIN,312,7,319
01231,01,MANZIAT,1948,48,1996
01232,01,MARBOZ,2276,47,2323
01233,01,MARCHAMP,130,3,133
01234,01,MARIGNIEU,169,3,172
01235,01,MARLIEUX,1159,87,1246
01236,01,MARSONNAS,1011,29,1040
01237,01,MARTIGNAT,1667,65,1732
01238,01,MASSIEUX,2670,56,2726
01239,01,MASSIGNIEU-DE-RIVES,620,14,634
01240,01,MATAFELON-GRANGES,627,16,643
01241,01,MEILLONNAS,1356,34,1390
01242,01,MÉRIGNAT,135,2,137
01243,01,MESSIMY-SUR-SAÔNE,1253,35,1288
01244,01,MEXIMIEUX,7923,139,8062
01245,01,BOHAS-MEYRIAT-RIGNAT,943,21,964
01246,01,MÉZÉRIAT,2217,36,2253
01247,01,MIJOUX,312,14,326
01248,01,MIONNAY,2197,54,2251
01249,01,MIRIBEL,10122,151,10273
